date,ZHVI,ZHVF,Median_Price,Inventory_Price,Market_Price
2019-08-31,423334.4191470591,,388026.0,21973.0,87433.23583391611
2019-09-30,423945.0365924175,,390041.0,21266.0,87480.81335479877
2019-10-31,424931.8217761245,,394036.0,20799.0,88322.46388374784
2019-11-30,426383.9968617275,,397978.0,19646.0,88675.024078918
2019-12-31,428404.893989184,,402564.0,17128.0,89280.55283895708
2020-01-31,430919.5726831869,,402267.0,14881.0,88401.06250620262
2020-02-29,433649.80754044256,,406039.0,14014.0,87714.43672389793
2020-03-31,436430.5873813788,,412401.0,15220.0,88149.55303603216
2020-04-30,438740.4350780474,,418233.0,15933.0,87490.30631219105
2020-05-31,439883.5357507999,,414541.0,16676.0,87155.65120705265
2020-06-30,440122.6548801901,,406861.0,16559.0,86678.48147011963
2020-07-31,440610.2295321316,,410504.0,16944.0,85666.04985439772
2020-08-31,442754.516549386,,421214.0,16828.0,85460.75245507501
2020-09-30,446934.5788747488,,435027.0,17165.0,85896.97793296028
2020-10-31,452299.9787817619,,440702.0,17313.0,86458.42710140755
2020-11-30,458210.92203123966,,444000.0,16643.0,87007.95838063648
2020-12-31,463821.867906384,,441898.0,14649.0,87399.37621362277
2021-01-31,468895.4960228269,,438929.0,12800.0,86987.68708472756
2021-02-28,474112.39450552926,,435713.0,11767.0,88519.09619327955
2021-03-31,479892.5811789481,,440931.0,12805.0,91802.55600347278
2021-04-30,486381.9385332116,,447926.0,14534.0,92803.46918121136
2021-05-31,492964.0081332855,,457406.0,16849.0,93178.70637587312
2021-06-30,498709.6570936614,,461061.0,18289.0,94329.76997270848
2021-07-31,502221.38413066446,,462060.0,19390.0,94051.21798739354
2021-08-31,503447.5223312811,,459841.0,19739.0,94062.43158178226
2021-09-30,502877.4030848323,,458649.0,19858.0,94467.55643976173
2021-10-31,502748.9872714044,,462943.0,19315.0,95908.56358052
2021-11-30,503545.5431180163,,465166.0,17691.0,96064.9416392904
2021-12-31,505693.3879350817,,465651.0,14628.0,96734.586761246
2022-01-31,509623.55267789424,,460209.0,11544.0,100926.16163915998
2022-02-28,515576.37746245135,,461793.0,10075.0,105015.7281687136
2022-03-31,523506.91806355567,,470944.0,10956.0,110528.68172062626
2022-04-30,531336.8680972398,,486476.0,12831.0,120357.59127415564
2022-05-31,537820.2236682555,,498896.0,14873.0,124409.9319388306
2022-06-30,541463.3429660541,,500645.0,16216.0,128397.7337135175
2022-07-31,541420.8360710522,,493504.0,16871.0,127224.19908586444
2022-08-31,538237.8308923418,,486170.0,16758.0,124495.48959630389
2022-09-30,533680.0303302383,,481765.0,16432.0,133116.05790490692
2022-10-31,530563.7496048714,,482205.0,15801.0,141191.86282553483
2022-11-30,528874.8778042871,,480070.0,14799.0,139708.65065776042
2022-12-31,528214.7204113441,,473216.0,12889.0,134644.94712094794
2023-01-31,527444.8263405502,,468359.0,11090.0,133800.5409750316
2023-02-28,527180.8241402126,,474127.0,9732.0,133576.66783195751
2023-03-31,527312.9130015465,,481503.0,9923.0,136810.03193904614
2023-04-30,528835.5017235437,,492338.0,10456.0,134967.63197096557
2023-05-31,531386.0727293798,,498324.0,11301.0,136575.2258754832
2023-06-30,535015.8566410708,,507728.0,11479.0,140789.03661837074
2023-07-31,538369.9318940848,,509486.0,11409.0,143095.98176178706
2023-08-31,541092.1099392107,,509440.0,11157.0,146495.4662925781
2023-09-30,542823.0956869583,,506143.0,11076.0,148576.45334728266
2023-10-31,543956.717807001,,507486.0,11081.0,153867.14006477207
2023-11-30,544611.6850560918,,505880.0,10812.0,151998.14978545246
2023-12-31,545170.4605994592,,507694.0,9723.0,144774.51385768715
2024-01-31,545590.136591095,,504474.0,8551.0,143090.0837474529
2024-02-29,547027.7771868185,,512017.0,8048.0,145050.2906388074
2024-03-31,550052.6866531315,,523007.0,8734.0,146385.4381229555
2024-04-30,554222.210595745,,537140.0,9949.0,149605.38122247538
2024-05-31,557647.4891342869,,543745.0,11418.0,151329.12211871313
2024-06-30,559326.8875748353,,545832.0,12504.0,150061.33361504096
2024-07-31,559887.9247236826,,546288.0,12950.0,149382.80633880553
2024-08-31,560405.8400468488,,544846.0,12765.0,145387.38659157863
2024-09-30,561833.1090727753,,546676.0,12728.0,142226.5807214808
2024-10-31,563909.3631785526,,548258.0,12836.0,145649.9080653895
2024-11-30,566215.4795374381,,550853.0,12576.0,150739.78054025056
2024-12-31,568278.850931148,,,11223.0,150179.15621511533
