Date,ZHVI_diff1,Interest_Rate,Median_Household_Income,real_mortgage_rate,Poverty_Rate_lag15,Unemployment_Rate_lag2
2009-02-01,-4032.59990000003,0.22,53284.76869826108,4.832352073042233,16.4,8.2
2009-03-01,-3860.8522999999695,0.18,53513.58701839347,4.968350984480165,16.4,8.7
2009-04-01,-3271.355500000005,0.15,53852.75866249666,5.003701784248424,17.2,9.0
2009-05-01,-2241.652300000016,0.18,54244.38475063378,5.277052388375466,17.2,9.4
2009-06-01,-1554.3387999999686,0.21,54690.55222014156,6.252739726933706,17.2,9.7
2009-07-01,-1299.97980000003,0.16,55139.48217077418,6.4599978857058,17.2,9.9
2009-08-01,-1508.1897999999928,0.16,55597.08179736808,6.180728201201868,17.2,10.1
2009-09-01,-1744.0283000000054,0.15,56023.86831405274,5.795907225030691,17.2,10.3
2009-10-01,-1263.8418999999994,0.12,56384.30275651732,4.670415701529484,17.2,10.5
2009-11-01,-417.70899999997346,0.12,56678.3926190537,3.5492347999946423,17.2,10.6
2009-12-01,646.5604999999632,0.12,56864.17045993035,3.00498445214291,17.2,10.6
2010-01-01,1347.9069000000018,0.11,56930.0,2.5010363792093084,17.2,10.6
2010-02-01,998.228700000036,0.13,56852.81693821923,2.4115902443414496,17.2,10.6
2010-03-01,1130.7100999999675,0.16,56679.35882923185,2.3398217895162476,17.2,10.5
2010-04-01,1211.0562999999966,0.2,56402.83524150072,2.656340971688407,18.4,10.3
2010-05-01,1536.1145000000251,0.2,56080.76294075073,2.6310672658475864,18.4,10.2
2010-06-01,670.8908999999985,0.18,55723.777382663655,3.0933944730211325,18.4,10.0
2010-07-01,-350.47320000000764,0.18,55385.643397336105,3.5254479573963646,18.4,9.8
2010-08-01,-1166.3150000000023,0.19,55075.92566147794,3.152528405016935,18.4,9.7
2010-09-01,-1248.1398000000045,0.19,54839.17920647464,2.8357504632869848,18.4,9.7
2010-10-01,-1192.6105000000098,0.19,54710.61934722346,2.5876249134917693,18.4,9.7
2010-11-01,-1311.5464999999967,0.19,54713.78236883935,2.535135719740607,18.4,9.8
2010-12-01,-1058.7895000000135,0.18,54879.19770918006,2.6592522506845118,18.4,9.9
2011-01-01,-581.9002999999793,0.17,55250.0,2.4115247977488448,18.4,9.9
