Date,House_Index,CPI,Poverty_Rate,Unemployment_Rate,Median_Household_Income,Population,Interest_Rate,Mortgage_Rate,GDP,House_Index_pct_change,CPI_pct_change,Poverty_Rate_pct_change,Median_Household_Income_pct_change,Population_pct_change,Interest_Rate_pct_change,Mortgage_Rate_pct_change,GDP_pct_change,dummy_crisis_2008_period,dummy_covid_2020_period
2003-01-01,160.03,186.3,12.5,5.5,71080.0,5050.4735,1.24,5.916,11174.129,0.0186505410566517,0.0037715517241381,0.0080645161290322,0.0295108085599449,0.0035670483126031,-0.2914285714285715,-0.0321472392638035,0.0101881917107846,0,0
2003-04-01,163.19,188.75,12.55,5.1,70032.5,5068.42475,1.26,5.8125,11312.766,0.0197462975692057,0.0131508319914115,0.004,-0.0147369161508159,0.0035543697041475,0.0161290322580645,-0.0174949290060852,0.0124069625471479,0,0
2003-07-01,168.35,190.2,12.6,5.7,68985.0,5086.376,1.01,5.6325,11566.669,0.0316195845333659,0.007682119205298,0.0039840637450199,-0.0149573412344268,0.0035417809053985,-0.1984126984126983,-0.0309677419354837,0.0224439363458945,0,0
2003-10-01,177.31,190.6,12.65,5.2,67937.5,5104.4130000000005,1.01,5.952,11772.234,0.0532224532224532,0.0021030494216613,0.0039682539682539,-0.0151844603899398,0.0035461397269884,0.0,0.0567243675099866,0.0177721866165618,0,0
2004-01-01,182.84,190.7,12.7,5.6,66890.0,5122.450000000001,1.0,5.7125,11923.447,0.0311883142518751,0.0005246589716683,0.0039525691699604,-0.0154185832566697,0.0035336090555369,-0.0099009900990099,-0.0402385752688171,0.0128448856860983,0,0
2004-04-01,192.31,193.45,12.675,5.1,66995.0,5140.487,1.0,5.83,12112.815,0.0517939181798292,0.0144205558468799,-0.0019685039370077,0.0015697413664224,0.0035211666292496,0.0,0.0205689277899343,0.01588198446305,0,0
2004-07-01,209.76,195.4,12.65,6.0,67100.0,5158.524,1.26,6.056,12305.307,0.0907389111330663,0.0100801240630654,-0.0019723865877712,0.0015672811403835,0.0035088115192198,0.26,0.0387650085763293,0.0158915991039243,0,0
2004-10-01,217.45,196.85,12.625,5.6,67205.0,5176.20975,1.76,5.7225,12527.214,0.0366609458428679,0.0074206755373591,-0.0019762845849802,0.0015648286140088,0.0034284516268605,0.3968253968253967,-0.0550693527080581,0.0180334387431373,0,0
2005-01-01,227.49,198.2,12.6,5.7,67310.0,5193.8955000000005,2.28,5.71,12767.286,0.0461715336859049,0.0068580137160274,-0.0019801980198019,0.001562383751209,0.0034167375075944,0.2954545454545454,-0.0021843599825251,0.0191640375904811,0,0
2005-04-01,244.5,201.1,12.525,5.1,68102.5,5211.58125,2.79,5.855,12922.656,0.0747725174732953,0.0146316851664984,-0.0059523809523809,0.0117738820383301,0.0034051031638968,0.2236842105263159,0.0253940455341505,0.0121693835322558,0,0
2005-07-01,257.78,202.8,12.45,5.3,68895.0,5229.267,3.26,5.695,13142.642,0.0543149284253576,0.0084535057185479,-0.0059880239520958,0.0116368708931389,0.003393547783602,0.1684587813620071,-0.02732707087959,0.0170232806630463,0,0
2005-10-01,268.98,204.95,12.375,4.7,69687.5,5238.20325,3.78,6.065,13324.204,0.0434479013111956,0.01060157790927,-0.0060240963855421,0.0115030118295957,0.0017088915138583,0.1595092024539877,0.0649692712906058,0.0138147261410606,0,0
2006-01-01,274.29,205.6,12.3,4.7,70480.0,5247.139499999999,4.29,6.145,13599.16,0.0197412447022082,0.0031715052451817,-0.0060606060606059,0.0113721973094169,0.0017059761856319,0.1349206349206348,0.0131904369332231,0.0206358293523576,0,0
2006-04-01,278.67,207.75,12.4,4.3,70855.0,5256.07575,4.79,6.5075,13753.424,0.0159685004921796,0.0104571984435797,0.0081300813008129,0.0053206583427922,0.0017030707874263,0.1165501165501166,0.0589910496338488,0.0113436418131709,0,0
2006-07-01,279.9,211.4,12.5,5.2,71230.0,5265.012,5.24,6.7625,13870.188,0.0044138228011625,0.0175691937424788,0.0080645161290322,0.0052924987650835,0.0017001752685927,0.093945720250522,0.0391855551286977,0.0084898131548913,0,0
2006-10-01,281.95,210.65,12.6,4.5,71605.0,5277.01725,5.25,6.3575,14039.56,0.0073240443015363,-0.0035477767265846,0.008,0.0052646356872103,0.0022801942331756,0.0019083969465647,-0.0598890942698706,0.0122112259761726,0,0
2007-01-01,280.11,211.101,12.7,4.8,71980.0,5289.0225,5.25,6.2175,14215.651,-0.0065259797836495,0.0021409921671018,0.0079365079365079,0.0052370644508064,0.0022750067758448,0.0,-0.0220212347620919,0.0125424870864898,0,0
2007-04-01,278.1,215.276,12.825,3.9,72987.5,5301.02775,5.25,6.18,14402.082,-0.0071757523829923,0.0197772630162813,0.0098425196850393,0.0139969435954432,0.0022698428679401,0.0,-0.0060313630880579,0.013114489093746,0,0
2007-07-01,271.97,217.198,12.95,4.6,73995.0,5313.033,5.26,6.695,14564.117,-0.0220424307802948,0.0089280737286088,0.0097465886939571,0.013803733516013,0.0022647023494641,0.0019047619047618,0.0833333333333334,0.0112508038768284,0,0
2007-10-01,265.68,218.394,13.075,4.1,75002.5,5329.25875,4.76,6.375,14715.058,-0.0231275508328124,0.005506496376578,0.0096525096525097,0.0136157848503277,0.0030539524222792,-0.0950570342205323,-0.0477968633308439,0.0103638964174759,1,0
2008-01-01,258.29,220.587,13.2,4.4,76010.0,5345.4845000000005,3.94,5.758,14706.538,-0.0278154170430592,0.0100414846561718,0.0095602294455066,0.013432885570481,0.0030446541932309,-0.1722689075630251,-0.0967843137254902,-0.0005789987372118,1,0
2008-04-01,242.01,223.5395,13.475,4.0,75247.5,5361.71025,2.28,5.9175,14865.701,-0.0630299276007589,0.0133847416212198,0.0208333333333332,-0.0100315747927903,0.0030354124121021,-0.4213197969543147,0.0277005904828067,0.0108226014851353,1,0
2008-07-01,229.66,228.918,13.75,5.5,74485.0,5377.936,2.01,6.425999999999999,14898.999,-0.0510309491343332,0.0240606246323356,0.0204081632653061,-0.0101332270175088,0.0030262265664204,-0.1184210526315789,0.085931558935361,0.0022399212791917,1,0
2008-10-01,225.39,226.22,14.025,5.8,73722.5,5402.51225,0.97,6.2,14608.209,-0.0185927022555082,-0.0117858796599655,0.02,-0.0102369604618379,0.0045698293917963,-0.5174129353233831,-0.0351696234049173,-0.0195174185863089,1,0
2009-01-01,225.58,221.83,14.3,7.2,72960.0,5427.0885,0.15,5.047499999999999,14430.902,0.0008429832734373,-0.0194058880735567,0.0196078431372548,-0.01034283970294,0.0045490410503001,-0.845360824742268,-0.1858870967741936,-0.0121374906396808,1,0
2009-04-01,218.12,223.1065,14.5,7.0,73995.0,5451.66475,0.15,4.8100000000000005,14381.236,-0.0330703076513875,0.005754406527521,0.0139860139860139,0.0141858552631579,0.0045284409863595,0.0,-0.0470529965329369,-0.0034416421094121,1,0
2009-07-01,213.24,226.084,14.7,8.3,75030.0,5476.241,0.16,5.222,14448.882,-0.022373005684944,0.013345644344741,0.0137931034482758,0.0139874315832151,0.0045080266536932,0.0666666666666666,0.0856548856548855,0.0047037681601218,1,0
2009-10-01,213.92,226.857,14.9,8.5,76065.0,5526.864,0.12,4.952,14651.249,0.0031888951416243,0.0034190831726261,0.0136054421768707,0.0137944822071172,0.0092441147129938,-0.25,-0.0517043278437381,0.014005720304173,1,0
2010-01-01,211.72,227.44,15.1,8.9,77100.0,5577.487,0.11,5.03,14764.61,-0.0102842183994016,0.002569900862658,0.0134228187919462,0.0136067836718596,0.0091594437641311,-0.0833333333333332,0.015751211631664,0.0077372925680261,0,0
2010-04-01,211.96,228.554,15.075,7.9,75967.5,5628.110000000001,0.2,5.098000000000001,14980.193,0.0011335726431136,0.0048979950756242,-0.0016556291390729,-0.0146887159533073,0.0090763098147965,0.8181818181818183,0.0135188866799205,0.0146013338652357,0,0
2010-07-01,214.66,228.432,15.05,8.6,74835.0,5678.733,0.18,4.564,15141.607,0.0127382525004717,-0.000533790701541,-0.001658374792703,-0.0149076907888241,0.0089946713905733,-0.1,-0.1047469595919969,0.0107751615750211,0,0
2010-10-01,214.15,230.5715,15.025,8.2,73702.5,5704.98775,0.19,4.225,15309.474,-0.0023758501816826,0.009366025775723,-0.0016611295681063,-0.0151332932451393,0.0046233464401301,0.0555555555555555,-0.0742769500438212,0.0110864718652385,0,0
2011-01-01,209.44,232.77,15.0,8.6,72570.0,5731.2425,0.17,4.755,15351.448,-0.0219939294886761,0.0095350032419445,-0.0016638935108153,-0.0153658288389132,0.004602069478589,-0.1052631578947368,0.1254437869822486,0.0027417009885513,0,0
