Year,Quarter,Date,Unemployment_Rate,CPI,Interest_Rate,Mortgage_Rate,ZHVI,GDP_Growth,Median_Household_Income,Population,Poverty_Rate,Marriage_Rate,Divorce_Rate,YearQuarter,QuarterLabel
2009,1,2009-01-01,9.033333333333333,222.23000000000002,0.18333333333333335,5.06,332112.5602,-2.9524114856114774,53312.78523888485,592.228,18.4,3.9166666666666665,2.745000000000001,2009-Q1,Q1 2009
2009,2,2009-04-01,9.9,223.841,0.18000000000000002,5.029166666666667,322910.5554,-0.05698186637402291,54262.56521109067,592.228,18.4,5.326666666666667,2.5650000000000004,2009-Q2,Q2 2009
2009,3,2009-07-01,10.466666666666667,226.63250000000002,0.15666666666666665,5.157333333333333,318240.3296666667,2.710712946865507,55586.81076073167,592.228,18.4,5.640000000000001,2.745000000000001,2009-Q3,Q3 2009
2009,4,2009-10-01,10.6,226.79216666666665,0.12,4.919,315248.1198,3.765498196999057,56642.28861183379,592.228,18.4,3.9166666666666665,2.745000000000001,2009-Q4,Q4 2009
2010,1,2010-01-01,10.333333333333334,227.96,0.13333333333333333,4.995833333333334,317930.21986666665,2.2053924452108684,56820.72525581703,605.282,19.2,6.333333333333332,2.8466666666666662,2010-Q1,Q1 2010
2010,2,2010-04-01,9.833333333333334,228.57066666666665,0.19333333333333336,4.907666666666667,321475.53243333334,3.9565205880274887,56069.125188305035,605.282,19.2,8.613333333333332,2.6599999999999993,2010-Q2,Q2 2010
2010,3,2010-07-01,9.733333333333333,229.52200000000002,0.18666666666666668,4.445833333333334,320890.7680666667,2.9342676566421746,55100.24942176289,605.282,19.2,9.119999999999997,2.8466666666666662,2010-Q3,Q3 2010
2010,4,2010-10-01,9.9,230.91766666666663,0.18666666666666668,4.413,317249.99853333336,0.7980836066330499,54767.866475080955,605.282,19.2,6.333333333333332,2.8466666666666662,2010-Q4,Q4 2010
2011,1,2011-01-01,10.033333333333333,233.976,0.15666666666666668,4.847833333333333,315856.5206666666,0.11240475178988754,55879.853360022935,620.29,18.7,7.25,2.948333333333333,2011-Q1,Q1 2011
2011,2,2011-04-01,10.4,237.12749999999997,0.09333333333333334,4.6625000000000005,315838.02873333334,1.9624451079464549,58491.43172944897,620.29,18.7,9.86,2.7550000000000003,2011-Q2,Q2 2011
2011,3,2011-07-01,10.4,238.458,0.08333333333333333,4.3069999999999995,313518.91696666664,0.9885823371511673,61688.02183932505,620.29,18.7,10.44,2.948333333333333,2011-Q3,Q3 2011
2011,4,2011-10-01,9.933333333333334,238.40316666666664,0.07333333333333335,4.006,311148.8356,4.953571873325849,64302.84973975597,620.29,18.7,7.25,2.948333333333333,2011-Q4,Q4 2011
2012,1,2012-01-01,9.466666666666667,240.6145,0.10333333333333333,3.9196666666666666,311866.78713333333,2.7051846934482393,65234.582243198645,635.737,18.2,7.0,2.948333333333333,2012-Q1,Q1 2012
2012,2,2012-04-01,9.1,242.2938333333333,0.15333333333333335,3.794333333333333,316217.55803333333,1.4257310195086024,64240.828786332684,635.737,18.2,9.520000000000001,2.7550000000000003,2012-Q2,Q2 2012
2012,3,2012-07-01,8.700000000000001,243.232,0.14333333333333334,3.5498333333333334,321887.09,0.141326884519971,62302.35681945996,635.737,18.2,10.08,2.948333333333333,2012-Q3,Q3 2012
2012,4,2012-10-01,8.633333333333333,243.49816666666666,0.16,3.359833333333333,328937.38790000003,1.8141298092389764,60584.97329681778,635.737,18.2,7.0,2.948333333333333,2012-Q4,Q4 2012
2013,1,2013-01-01,8.7,244.475,0.14333333333333334,3.503833333333333,335068.2182333334,3.392923450629045,60214.6360479471,651.559,18.9,9.000000000000002,2.8466666666666662,2013-Q1,Q1 2013
2013,2,2013-04-01,8.533333333333333,245.60850000000002,0.11666666666666665,3.683666666666667,341418.3849,1.2871157095630064,61567.548754222335,651.559,18.9,12.240000000000004,2.6599999999999993,2013-Q2,Q2 2013
2013,3,2013-07-01,8.4,247.008,0.08333333333333333,4.438666666666667,348520.0522,4.362279071273131,64008.20860963295,651.559,18.9,12.960000000000003,2.8466666666666662,2013-Q3,Q3 2013
2013,4,2013-10-01,8.1,247.4288333333333,0.08666666666666667,4.3015,355622.1525666667,1.4529237692193964,66703.64256368113,651.559,18.9,9.000000000000002,2.8466666666666662,2013-Q4,Q4 2013
2014,1,2014-01-01,7.866666666666667,248.635,0.07333333333333335,4.359000000000001,360908.5960666667,0.007298242880904207,68842.66671679867,663.603,17.7,9.833333333333336,2.6433333333333335,2014-Q1,Q1 2014
2014,2,2014-04-01,7.8,250.28150000000002,0.09333333333333334,4.230666666666667,365312.3725333333,6.342136052172138,70015.11717835604,663.603,17.7,13.373333333333337,2.4699999999999998,2014-Q2,Q2 2014
2014,3,2014-07-01,7.666666666666667,250.48,0.09000000000000001,4.135833333333333,366870.1158333333,3.6642935797259586,70426.43468462182,663.603,17.7,14.160000000000002,2.6433333333333335,2014-Q3,Q3 2014
2014,4,2014-10-01,7.5,249.60816666666665,0.09999999999999999,3.965833333333333,368538.5725,2.3040209185619265,70310.70484894906,663.603,17.7,9.833333333333336,2.6433333333333335,2014-Q4,Q4 2014
2015,1,2015-01-01,7.3,248.556,0.11,3.716666666666667,370401.44866666663,3.5422684861402414,69927.47357226106,677.014,17.3,6.833333333333333,2.8466666666666662,2015-Q1,Q1 2015
2015,2,2015-04-01,7.033333333333334,251.3795,0.12333333333333334,3.8314999999999997,371839.6739,2.1400503443636785,69560.32804733106,677.014,17.3,9.293333333333333,2.6599999999999993,2015-Q2,Q2 2015
2015,3,2015-07-01,6.766666666666667,251.684,0.1366666666666667,3.9470000000000005,373270.9462666667,1.128043035457529,69511.79759464576,677.014,17.3,9.839999999999998,2.8466666666666662,2015-Q3,Q3 2015
2015,4,2015-10-01,6.566666666666666,251.41516666666666,0.16,3.9008333333333334,376878.9584333333,1.2013613781970394,70106.21432562068,677.014,17.3,6.833333333333333,2.8466666666666662,2015-Q4,Q4 2015
2016,1,2016-01-01,6.3,251.76249999999996,0.36000000000000004,3.7421666666666664,380441.36013333336,2.071468634653559,71649.01269645499,687.576,18.6,6.75,2.745000000000001,2016-Q1,Q1 2016
2016,2,2016-04-01,6.099999999999999,254.40383333333332,0.37333333333333335,3.5909999999999997,381079.2390666667,1.6789785100636716,74099.48719412104,687.576,18.6,9.18,2.5650000000000004,2016-Q2,Q2 2016
2016,3,2016-07-01,6.233333333333333,253.909,0.39666666666666667,3.4450000000000003,381510.3846666667,2.915620224331439,76993.66499675933,687.576,18.6,9.719999999999999,2.745000000000001,2016-Q3,Q3 2016
2016,4,2016-10-01,6.3,253.994,0.45,3.812666666666667,384597.80616666673,1.9956854697722688,79751.98351613987,687.576,18.6,6.75,2.745000000000001,2016-Q4,Q4 2016
2017,1,2017-01-01,6.233333333333333,254.965,0.7000000000000001,4.171166666666667,390258.41676666663,2.0689817290084074,81823.62103866675,697.0790000000001,16.6,6.833333333333333,2.5416666666666665,2017-Q1,Q1 2017
